feature,importance
is_known_legit,1.0
scheme_https,0.0
has_port,0.0
num_subdomains,0.0
digit_ratio,0.0
upper_ratio,0.0
special_char_ratio,0.0
domain_entropy,0.0
is_standard_port,0.0
domain_len,0.0
has_punycode,0.0
path_depth,0.0
avg_path_token_len,0.0
path_sus_density,0.0
has_php,0.0
has_html,0.0
subdomain_len,0.0
tld_len,0.0
scheme_http,0.0
num_underscores_host,0.0
url_len,0.0
host_len,0.0
path_len,0.0
query_len,0.0
num_dots_host,0.0
num_hyphens_host,0.0
num_slashes_path,0.0
sus_token_ratio,0.0
has_at,0.0
has_double_slash,0.0
has_ip_literal,0.0
num_params,0.0
has_fragment,0.0
sus_token_count,0.0
has_exe,0.0
